id,score_smog1,score_smog2,score_smartway
20027,1.0,-1.0,NON
20028,1.0,-1.0,NON
20029,1.0,-1.0,NON
20030,1.0,-1.0,NON
20031,1.0,-1.0,NON
20032,1.0,-1.0,NON
20033,1.0,-1.0,NON
20034,2.0,-1.0,NON
20035,1.0,-1.0,NON
20036,1.0,-1.0,NON
20037,1.0,-1.0,NON
20038,1.0,-1.0,NON
20039,2.0,-1.0,NON
20040,2.0,-1.0,NON
20041,1.0,-1.0,NON
20042,2.0,-1.0,NON
20043,1.0,-1.0,NON
20044,1.0,-1.0,NON
20045,1.0,-1.0,NON
20046,2.0,-1.0,NON
20047,2.0,-1.0,NON
20049,1.0,-1.0,NON
20050,1.0,-1.0,NON
20051,-12.0,-1.0,NON
20052,1.0,-1.0,NON
20053,1.0,-1.0,NON
20054,1.0,-1.0,NON
20055,1.0,-1.0,NON
20056,1.0,-1.0,NON
20057,1.0,-1.0,NON
20058,1.0,-1.0,NON
20059,1.0,-1.0,NON
20060,1.0,-1.0,NON
20061,1.0,-1.0,NON
20062,1.0,-1.0,NON
20063,1.0,-1.0,NON
20064,1.0,-1.0,NON
20065,2.0,-1.0,NON
20066,1.0,-1.0,NON
20067,1.0,-1.0,NON
20068,1.0,-1.0,NON
20069,1.0,-1.0,NON
20070,2.0,-1.0,NON
20071,2.0,-1.0,NON
20072,1.0,-1.0,NON
20073,1.0,-1.0,NON
20074,1.0,-1.0,NON
20075,1.0,-1.0,NON
20076,1.0,-1.0,NON
20077,1.0,-1.0,NON
20078,1.0,-1.0,NON
20079,1.0,-1.0,NON
20080,1.0,-1.0,NON
20081,1.0,-1.0,NON
20082,1.0,-1.0,NON
20083,1.0,-1.0,NON
20084,1.0,-1.0,NON
20085,1.0,-1.0,NON
20086,1.0,-1.0,NON
20087,1.0,-1.0,NON
20088,1.0,-1.0,NON
20089,1.0,-1.0,NON
20090,1.0,-1.0,NON
20091,1.0,-1.0,NON
20092,1.0,-1.0,NON
20093,1.0,-1.0,NON
20094,1.0,-1.0,NON
20095,1.0,-1.0,NON
20096,1.0,-1.0,NON
20097,1.0,-1.0,NON
20098,1.0,-1.0,NON
20099,1.0,-1.0,NON
20100,1.0,-1.0,NON
20101,1.0,-1.0,NON
20102,1.0,-1.0,NON
20103,1.0,-1.0,NON
20104,1.0,-1.0,NON
20105,1.0,-1.0,NON
20106,1.0,-1.0,NON
20107,1.0,-1.0,NON
20108,1.0,-1.0,NON
20109,1.0,-1.0,NON
20110,1.0,-1.0,NON
20111,1.0,-1.0,NON
20112,1.0,-1.0,NON
20113,1.0,-1.0,NON
20114,1.0,-1.0,NON
20115,1.0,-1.0,NON
20116,1.0,-1.0,NON
20117,1.0,-1.0,NON
20118,1.0,-1.0,NON
20119,1.0,-1.0,NON
20120,1.0,-1.0,NON
20121,1.0,-1.0,NON
20122,1.0,-1.0,NON
20123,5.0,-1.0,NON
20124,1.0,-1.0,NON
20125,1.0,-1.0,NON
20126,5.0,-1.0,NON
20127,1.0,-1.0,NON
20128,1.0,-1.0,NON
20129,1.0,-1.0,NON
20130,1.0,-1.0,NON
20131,1.0,-1.0,NON
20132,1.0,-1.0,NON
20133,1.0,-1.0,NON
20134,1.0,-1.0,NON
20135,5.0,-1.0,NON
20136,5.0,-1.0,NON
20137,1.0,-1.0,NON
20138,1.0,-1.0,NON
20139,5.0,-1.0,NON
20140,1.0,-1.0,NON
20141,1.0,-1.0,NON
20142,1.0,-1.0,NON
20143,1.0,-1.0,NON
20144,1.0,-1.0,NON
20145,5.0,-1.0,NON
20146,5.0,-1.0,NON
20147,1.0,-1.0,NON
20148,1.0,-1.0,NON
20149,1.0,-1.0,NON
20150,5.0,-1.0,NON
20151,1.0,-1.0,NON
20152,1.0,-1.0,NON
20153,1.0,-1.0,NON
20154,2.0,-1.0,NON
20155,2.0,-1.0,NON
20156,1.0,-1.0,NON
20157,2.0,-1.0,NON
20158,2.0,-1.0,NON
20159,2.0,-1.0,NON
20160,5.0,-1.0,NON
20161,2.0,-1.0,NON
20162,1.0,-1.0,NON
20163,1.0,-1.0,NON
20164,2.0,-1.0,NON
20165,5.0,-1.0,NON
20166,2.0,-1.0,NON
20167,5.0,-1.0,NON
20168,2.0,-1.0,NON
20169,2.0,-1.0,NON
20170,2.0,-1.0,NON
